Date,Type,Réf. transaction,Moyen de paiement,Quantité,Description,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
1 sept. 2025 09:39,Vente,TAAAXGHVZDM,Visa - Débit,1,Iced Vanilla Foam Latte,EUR,6.50,0.00,6.50,5.42,1.08,20 %,admin@pingpang.paris
1 sept. 2025 10:23,Vente,TAAAXGH6Z74,Visa - Crédit,1,Iced Vanilla Foam Latte,EUR,6.50,0.00,6.50,5.42,1.08,20 %,admin@pingpang.paris
1 sept. 2025 10:23,Vente,TAAAXGH6Z74,Visa - Crédit,1,Lait végétal,EUR,0.50,0.00,0.50,0.42,0.08,20 %,admin@pingpang.paris
1 sept. 2025 13:23,Vente,TAAAXGLTLNG,Visa - Débit,1,Double Espresso ☕️ Standard,EUR,3.00,0.00,3.00,2.73,0.27,10 %,admin@pingpang.paris
1 sept. 2025 13:43,Vente,TAAAXGL2B2H,Visa - Crédit,1,Double Espresso ☕️ Standard,EUR,3.00,0.00,3.00,2.73,0.27,10 %,admin@pingpang.paris
1 sept. 2025 13:43,Vente,TAAAXGL2B2H,Visa - Crédit,1,Play Off-Peak Play One (Off-Peak),EUR,20.00,0.00,20.00,16.67,3.33,20 %,admin@pingpang.paris
1 sept. 2025 14:55,Vente,TAAAXGMQXGP,Visa - Débit,1,ChariTea  Black,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
1 sept. 2025 14:55,Vente,TAAAXGMQXGP,Visa - Débit,1,ChariTea  Green,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
1 sept. 2025 15:11,Vente,TAAAXGMU2TK,Visa - Débit,1,Emerald Lemonade,EUR,6.00,0.60,5.40,4.50,0.90,20 %,admin@pingpang.paris
1 sept. 2025 16:56,Vente,TAAAXGNUSHT,Mastercard - Débit,1,JUS DE FRUITS POMME 🍎,EUR,3.00,0.00,3.00,2.73,0.27,10 %,admin@pingpang.paris
1 sept. 2025 17:09,Vente,TAAAXGNZHYH,Espèces,1,Lait Végétal  Standard,EUR,0.50,0.00,0.50,0.45,0.05,10 %,admin@pingpang.paris
1 sept. 2025 17:09,Vente,TAAAXGNZHYH,Espèces,1,Matcha latte,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
1 sept. 2025 18:21,Vente,TAAAXGPQBQ7,Mastercard - Débit,1,Play Peak Play Half (Peak),EUR,15.00,0.00,15.00,12.50,2.50,20 %,admin@pingpang.paris
1 sept. 2025 18:21,Vente,TAAAXGPQHCV,Espèces,1,Play Peak Play Half (Peak),EUR,15.00,0.00,15.00,12.50,2.50,20 %,admin@pingpang.paris
1 sept. 2025 18:31,Vente,TAAAXGPS339,Espèces,1,Play Peak Play Half (Peak),EUR,15.00,0.00,15.00,12.50,2.50,20 %,admin@pingpang.paris
1 sept. 2025 18:31,Vente,TAAAXGPS339,Espèces,1,The vert pêche - Meneau Standard,EUR,4.00,0.00,4.00,3.64,0.36,10 %,admin@pingpang.paris
1 sept. 2025 20:05,Vente,TAAAXGQNA36,Visa - Débit,1,Club Mate Cola ⚫️ Standard,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
1 sept. 2025 20:05,Vente,TAAAXGQNA36,Visa - Débit,1,PBA ADULTS Standard,EUR,30.00,0.00,30.00,25.00,5.00,20 %,admin@pingpang.paris
2 sept. 2025 10:07,Vente,TAAAXGTA4QU,Visa - Débit,1,Cappuccino Standard,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
2 sept. 2025 12:07,Vente,TAAAXGUFCRV,Visa - Crédit,1,Iced Vanilla Foam Latte,EUR,6.50,0.00,6.50,5.42,1.08,20 %,admin@pingpang.paris
2 sept. 2025 12:08,Vente,TAAAXGUFMYU,Espèces,1,Café Latte Standard,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
2 sept. 2025 12:08,Vente,TAAAXGUFMYU,Espèces,1,Sirop,EUR,0.50,0.00,0.50,0.42,0.08,20 %,admin@pingpang.paris
2 sept. 2025 13:15,Vente,TAAAXGVAYB6,Visa - Débit,1,COACHING PAUL,EUR,65.00,0.00,65.00,54.17,10.83,20 %,admin@pingpang.paris
2 sept. 2025 13:15,Vente,TAAAXGVAYB6,Visa - Débit,1,Play Off-Peak Play One (Off-Peak),EUR,20.00,0.00,20.00,16.67,3.33,20 %,admin@pingpang.paris
2 sept. 2025 15:40,Vente,TAAAXGXUUQ2,Mastercard - Débit,1,Évian Standard,EUR,2.50,1.25,1.25,1.13,0.12,10 %,admin@pingpang.paris
2 sept. 2025 16:14,Vente,TAAAXGX9RKP,Visa - Débit,1,Play Off-Peak Play Half (Off-Peak),EUR,10.00,0.00,10.00,8.33,1.67,20 %,admin@pingpang.paris
2 sept. 2025 16:34,Vente,TAAAXGYF6AE,Mastercard - Débit,1,Play Off-Peak Play Half (Off-Peak),EUR,10.00,0.00,10.00,8.33,1.67,20 %,admin@pingpang.paris
2 sept. 2025 16:56,Vente,TAAAXGYPU6T,Mastercard - Débit,1,Play Peak Play Half (Peak),EUR,15.00,0.00,15.00,12.50,2.50,20 %,admin@pingpang.paris
2 sept. 2025 17:40,Vente,TAAAXGY7HH3,Visa - Débit,1,JUS DE FRUITS POMME 🍎,EUR,3.00,0.00,3.00,2.73,0.27,10 %,admin@pingpang.paris
2 sept. 2025 17:40,Vente,TAAAXGY7HH3,Visa - Débit,1,Play Off-Peak Play Half (Off-Peak),EUR,10.00,0.00,10.00,8.33,1.67,20 %,admin@pingpang.paris
2 sept. 2025 19:14,Vente,TAAAXGZ9FPS,Visa - Débit,1,Cookie MATCHA,EUR,4.00,0.00,4.00,3.64,0.36,10 %,admin@pingpang.paris
2 sept. 2025 21:42,Vente,TAAAXG3HDR4,Visa - Débit,1,Play Peak Play Half (Peak),EUR,15.00,0.00,15.00,12.50,2.50,20 %,admin@pingpang.paris
2 sept. 2025 23:07,Vente,TAAAXG32Z44,Visa - Débit,1,Iced Vanilla Foam Latte,EUR,6.50,3.25,3.25,2.71,0.54,20 %,admin@pingpang.paris
2 sept. 2025 23:07,Vente,TAAAXG32Z44,Visa - Débit,1,Lait végétal,EUR,0.50,0.25,0.25,0.21,0.04,20 %,admin@pingpang.paris
3 sept. 2025 10:21,Vente,TAAAXG6QUAF,Espèces,1,Iced Vanilla Foam Latte,EUR,6.50,0.00,6.50,5.42,1.08,20 %,admin@pingpang.paris
3 sept. 2025 11:47,Vente,TAAAXG7LCTF,Visa - Débit,1,Identité T-shirt Blanc · L,EUR,50.00,15.00,35.00,29.17,5.83,20 %,admin@pingpang.paris
3 sept. 2025 11:47,Vente,TAAAXG7LCTF,Visa - Débit,1,Identité T-shirt Noir · M,EUR,50.00,15.00,35.00,29.17,5.83,20 %,admin@pingpang.paris
3 sept. 2025 12:36,Vente,TAAAXG77YTC,Visa - Crédit,1,Iced Vanilla Foam Latte,EUR,6.50,0.00,6.50,5.42,1.08,20 %,admin@pingpang.paris
3 sept. 2025 12:36,Vente,TAAAXG77YTC,Visa - Crédit,1,Lait végétal,EUR,0.50,0.00,0.50,0.42,0.08,20 %,admin@pingpang.paris
3 sept. 2025 13:29,Vente,TAAAXG9UUTA,Visa - Crédit,1,Play Off-Peak Play Half (Off-Peak),EUR,10.00,0.00,10.00,8.33,1.67,20 %,admin@pingpang.paris
3 sept. 2025 14:07,Vente,TAAAXHACKSM,Mastercard - Débit,1,Cookie MATCHA,EUR,4.00,0.00,4.00,3.64,0.36,10 %,admin@pingpang.paris
3 sept. 2025 14:07,Vente,TAAAXHACKSM,Mastercard - Débit,1,Kombucha Archipel 🌈 Kombucha framboisier,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
3 sept. 2025 14:30,Vente,TAAAXHAL7LM,Mastercard - Débit,1,Play Off-Peak Play Half (Off-Peak),EUR,10.00,0.00,10.00,8.33,1.67,20 %,admin@pingpang.paris
3 sept. 2025 15:29,Vente,TAAAXHA97LF,Espèces,1,Play Off-Peak Play One (Off-Peak),EUR,20.00,0.00,20.00,16.67,3.33,20 %,admin@pingpang.paris
3 sept. 2025 16:00,Vente,TAAAXHBLHGY,Visa - Débit,1,Espresso ☕️ Standard,EUR,2.50,0.00,2.50,2.27,0.23,10 %,admin@pingpang.paris
3 sept. 2025 16:00,Vente,TAAAXHBLHGY,Visa - Débit,1,JUS DE FRUITS MULTI FRUIT 🍍🍒🍑,EUR,3.00,0.00,3.00,2.73,0.27,10 %,admin@pingpang.paris
3 sept. 2025 16:07,Vente,TAAAXHBNFKM,Visa - Débit,2,Banane bread Petite part,EUR,8.40,4.20,4.20,3.50,0.70,20 %,admin@pingpang.paris
3 sept. 2025 16:07,Vente,TAAAXHBNFKM,Visa - Débit,1,Café allongé Standard,EUR,3.00,1.50,1.50,1.37,0.13,10 %,admin@pingpang.paris
3 sept. 2025 16:16,Vente,TAAAXHBRCFM,Espèces,1,Cappuccino Standard,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
3 sept. 2025 16:16,Vente,TAAAXHBRCFM,Espèces,2,FREDERICK Standard,EUR,70.00,0.00,70.00,58.33,11.67,20 %,admin@pingpang.paris
3 sept. 2025 16:16,Vente,TAAAXHBRCFM,Espèces,1,Iced americano,EUR,4.50,0.00,4.50,3.75,0.75,20 %,admin@pingpang.paris
3 sept. 2025 16:16,Vente,TAAAXHBRCFM,Espèces,1,Kombucha Archipel 🌈 Kombucha Cassissier,EUR,5.00,0.00,5.00,4.55,0.45,10 %,admin@pingpang.paris
3 sept. 2025 16:16,Vente,TAAAXHBRCFM,Espèces,2,Play Off-Peak Play One (Off-Peak),EUR,40.00,0.00,40.00,33.33,6.67,20 %,admin@pingpang.paris
3 sept. 2025 16:33,Vente,TAAAXHBXSKY,Visa - Débit,1,Pp split,EUR,15.00,0.00,15.00,12.50,2.50,20 %,admin@pingpang.paris
3 sept. 2025 16:33,Vente,TAAAXHBXVVT,Visa - Débit,1,Pp split,EUR,15.00,0.00,15.00,12.50,2.50,20 %,admin@pingpang.paris
3 sept. 2025 16:40,Vente,TAAAXHBZY67,Mastercard - Débit,1,Iced Latte,EUR,5.50,0.00,5.50,4.58,0.92,20 %,admin@pingpang.paris
