Date,Type,Réf. transaction,Moyen de paiement,Quantité,Description,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
2 janv. 2026 11:37,Vente,TAAAY9DSEHP,Mastercard - Débit,3,The vert pêche - Meneau Standard,EUR,12.00,0.00,12.00,10.91,1.09,10 %,admin@pingpang.paris
2 janv. 2026 12:11,Vente,TAAAY9D3CBX,Espèces,1,Café Latte Standard,EUR,5.00,0.50,4.50,4.10,0.40,10 %,admin@pingpang.paris
2 janv. 2026 12:11,Vente,TAAAY9D3CBX,Espèces,1,JUS DE FRUITS ORANGE 🍊,EUR,3.00,0.30,2.70,2.46,0.24,10 %,admin@pingpang.paris
2 janv. 2026 12:22,Vente,TAAAY9D63MP,Mastercard - Crédit,2,Cookie MATCHA,EUR,8.00,0.80,7.20,6.54,0.66,10 %,admin@pingpang.paris
2 janv. 2026 12:22,Vente,TAAAY9D63MP,Mastercard - Crédit,1,Double Espresso ☕️ Standard,EUR,3.00,0.30,2.70,2.46,0.24,10 %,admin@pingpang.paris
2 janv. 2026 12:22,Vente,TAAAY9D63MP,Mastercard - Crédit,1,Espresso ☕️ Standard,EUR,2.50,0.25,2.25,2.04,0.21,10 %,admin@pingpang.paris
2 janv. 2026 12:26,Vente,TAAAY9D747M,Visa - Débit,1,Raquette x PPP - Hoodie Gris M,EUR,90.00,0.00,90.00,75.00,15.00,20 %,admin@pingpang.paris
2 janv. 2026 15:05,Vente,TAAAY9FT2LY,Visa - Débit,1,Espresso ☕️ Standard,EUR,2.50,0.00,2.50,2.27,0.23,10 %,admin@pingpang.paris
2 janv. 2026 15:05,Vente,TAAAY9FT2LY,Visa - Débit,1,JUS DE FRUITS MULTI FRUIT 🍍🍒🍑,EUR,3.00,0.00,3.00,2.73,0.27,10 %,admin@pingpang.paris
2 janv. 2026 15:38,Vente,TAAAY9F7Q6P,Visa - Crédit,1,Espresso ☕️ Standard,EUR,2.50,0.00,2.50,2.27,0.23,10 %,admin@pingpang.paris
2 janv. 2026 15:38,Vente,TAAAY9F7Q6P,Visa - Crédit,1,Play Off-Peak Play Half (Off-Peak),EUR,10.00,0.00,10.00,8.33,1.67,20 %,admin@pingpang.paris
2 janv. 2026 15:38,Vente,TAAAY9F7Q6P,Visa - Crédit,1,Thé 🍵 Standard,EUR,4.50,0.00,4.50,4.09,0.41,10 %,admin@pingpang.paris
